candidate,total_score,rank,strategy,dataset
Emmanuel.Macron,-82.35312394526383,7,cluster_imp,scores_4_neg
Jean.Lassalle,-124.20185670261958,8,cluster_imp,scores_4_neg
Valérie.Pecresse,-471.103725741067,9,cluster_imp,scores_4_neg
Nicolas.Dupont.Aignan,-681.5500240755007,10,cluster_imp,scores_4_neg
Marine.Le.Pen,-707.4086004108877,11,cluster_imp,scores_4_neg
Eric.Zemmour,-759.2346887152387,12,cluster_imp,scores_4_neg
Jean.Luc.Mélenchon,1136,1,knn_imp,scores_4_neg
Yannick.Jadot,842,2,knn_imp,scores_4_neg
Philippe.Poutou,593,3,knn_imp,scores_4_neg
Fabien.Roussel,396,4,knn_imp,scores_4_neg
Anne.Hidalgo,288,5,knn_imp,scores_4_neg
Nathalie.Arthaud,198,6,knn_imp,scores_4_neg
Jean.Lassalle,-74,7,knn_imp,scores_4_neg
Emmanuel.Macron,-76,8,knn_imp,scores_4_neg
Valérie.Pecresse,-438,9,knn_imp,scores_4_neg
Nicolas.Dupont.Aignan,-681,10,knn_imp,scores_4_neg
Marine.Le.Pen,-712,11,knn_imp,scores_4_neg
Eric.Zemmour,-770,12,knn_imp,scores_4_neg
Jean.Luc.Mélenchon,1130.4000000000003,1,multiple_imp,scores_4_neg
Yannick.Jadot,839.9999999999998,2,multiple_imp,scores_4_neg
Philippe.Poutou,566.7999999999997,3,multiple_imp,scores_4_neg
Fabien.Roussel,374.1999999999999,4,multiple_imp,scores_4_neg
Anne.Hidalgo,277.40000000000003,5,multiple_imp,scores_4_neg
Nathalie.Arthaud,147.4,6,multiple_imp,scores_4_neg
Emmanuel.Macron,-84.19999999999999,7,multiple_imp,scores_4_neg
Jean.Lassalle,-128.60000000000002,8,multiple_imp,scores_4_neg
Valérie.Pecresse,-474.4000000000003,9,multiple_imp,scores_4_neg
Nicolas.Dupont.Aignan,-678.9999999999999,10,multiple_imp,scores_4_neg
Marine.Le.Pen,-709.3999999999999,11,multiple_imp,scores_4_neg
Eric.Zemmour,-755.2,12,multiple_imp,scores_4_neg
Jean.Luc.Mélenchon,1981,1,lowest_rank,scores_4_pos
Yannick.Jadot,1602,2,lowest_rank,scores_4_pos
Philippe.Poutou,1262,3,lowest_rank,scores_4_pos
Fabien.Roussel,1033,4,lowest_rank,scores_4_pos
Anne.Hidalgo,999,5,lowest_rank,scores_4_pos
Emmanuel.Macron,747,6,lowest_rank,scores_4_pos
Nathalie.Arthaud,746,7,lowest_rank,scores_4_pos
Jean.Lassalle,560,8,lowest_rank,scores_4_pos
Valérie.Pecresse,298,9,lowest_rank,scores_4_pos
Marine.Le.Pen,184,10,lowest_rank,scores_4_pos
Nicolas.Dupont.Aignan,168,11,lowest_rank,scores_4_pos
Eric.Zemmour,130,12,lowest_rank,scores_4_pos
Jean.Luc.Mélenchon,1510,1,complete_case,scores_4_pos
Yannick.Jadot,1237,2,complete_case,scores_4_pos
Philippe.Poutou,974,3,complete_case,scores_4_pos
Fabien.Roussel,834,4,complete_case,scores_4_pos
Anne.Hidalgo,796,5,complete_case,scores_4_pos
Nathalie.Arthaud,605,6,complete_case,scores_4_pos
Emmanuel.Macron,594,7,complete_case,scores_4_pos
Jean.Lassalle,485,8,complete_case,scores_4_pos
Valérie.Pecresse,265,9,complete_case,scores_4_pos
Marine.Le.Pen,153,10,complete_case,scores_4_pos
Nicolas.Dupont.Aignan,143,11,complete_case,scores_4_pos
Eric.Zemmour,104,12,complete_case,scores_4_pos
Jean.Luc.Mélenchon,2043.604966139956,1,mean_imp,scores_4_pos
Yannick.Jadot,1677.23711340206,2,mean_imp,scores_4_pos
Philippe.Poutou,1378.0979689366775,3,mean_imp,scores_4_pos
Fabien.Roussel,1148.6155717761567,4,mean_imp,scores_4_pos
Anne.Hidalgo,1106.7709090909107,5,mean_imp,scores_4_pos
Nathalie.Arthaud,870.8097062579818,6,mean_imp,scores_4_pos
Emmanuel.Macron,850.2590286425889,7,mean_imp,scores_4_pos
Jean.Lassalle,670.8256880733953,8,mean_imp,scores_4_pos
Valérie.Pecresse,367.0781671159025,9,mean_imp,scores_4_pos
Marine.Le.Pen,226.9581646423748,10,mean_imp,scores_4_pos
Nicolas.Dupont.Aignan,207.5027027027019,11,mean_imp,scores_4_pos
Eric.Zemmour,161.44021739130412,12,mean_imp,scores_4_pos
Jean.Luc.Mélenchon,2023.9761259836973,1,cluster_imp,scores_4_pos
Yannick.Jadot,1664.6857425225721,2,cluster_imp,scores_4_pos
Philippe.Poutou,1329.634192265293,3,cluster_imp,scores_4_pos
Fabien.Roussel,1144.2653135084402,4,cluster_imp,scores_4_pos
Anne.Hidalgo,1093.3376659153307,5,cluster_imp,scores_4_pos
Nathalie.Arthaud,842.8052686931495,6,cluster_imp,scores_4_pos
Emmanuel.Macron,807.3729387424183,7,cluster_imp,scores_4_pos
Jean.Lassalle,659.5236833464364,8,cluster_imp,scores_4_pos
Valérie.Pecresse,353.0861137264706,9,cluster_imp,scores_4_pos
Marine.Le.Pen,208.3641811662146,10,cluster_imp,scores_4_pos
Nicolas.Dupont.Aignan,196.00386240177843,11,cluster_imp,scores_4_pos
Eric.Zemmour,144.44968149313473,12,cluster_imp,scores_4_pos
Jean.Luc.Mélenchon,2047,1,knn_imp,scores_4_pos
Yannick.Jadot,1687,2,knn_imp,scores_4_pos
Philippe.Poutou,1366,3,knn_imp,scores_4_pos
Fabien.Roussel,1165,4,knn_imp,scores_4_pos
Anne.Hidalgo,1135,5,knn_imp,scores_4_pos
Nathalie.Arthaud,926,6,knn_imp,scores_4_pos
Emmanuel.Macron,840,7,knn_imp,scores_4_pos
Jean.Lassalle,715,8,knn_imp,scores_4_pos
Valérie.Pecresse,472,9,knn_imp,scores_4_pos
Marine.Le.Pen,225,10,knn_imp,scores_4_pos
Nicolas.Dupont.Aignan,218,11,knn_imp,scores_4_pos
Eric.Zemmour,170,12,knn_imp,scores_4_pos
Jean.Luc.Mélenchon,2027.2,1,multiple_imp,scores_4_pos
Yannick.Jadot,1668.3999999999994,2,multiple_imp,scores_4_pos
Philippe.Poutou,1343.3999999999999,3,multiple_imp,scores_4_pos
Fabien.Roussel,1151.0000000000002,4,multiple_imp,scores_4_pos
Anne.Hidalgo,1094.1999999999998,5,multiple_imp,scores_4_pos
Nathalie.Arthaud,857.6000000000003,6,multiple_imp,scores_4_pos
Emmanuel.Macron,814.2,7,multiple_imp,scores_4_pos
Jean.Lassalle,673.7999999999996,8,multiple_imp,scores_4_pos
Valérie.Pecresse,370.99999999999955,9,multiple_imp,scores_4_pos
Marine.Le.Pen,216.79999999999998,10,multiple_imp,scores_4_pos
Nicolas.Dupont.Aignan,211.99999999999977,11,multiple_imp,scores_4_pos
Eric.Zemmour,154,12,multiple_imp,scores_4_pos
