dataset,candidate,pooled_mean,within_variance,between_variance,min_rank,max_rank,rank_range,total_variance,pooled_se,rubin_df,critical_value,lower_95,upper_95,pooled_total,pooled_rank
scores_4_neg,Jean.Luc.Mélenchon,1.2181034482758621,0.00114924741328002,1.196027794292261e-5,1,1,0,0.001163599746811527,0.034111577899761936,26291.913261645666,1.9600542167937025,1.151242906171947,1.2849639903797774,1130.4,1
scores_4_neg,Yannick.Jadot,0.9051724137931032,9.723138148451723e-4,2.2062648632580725e-5,2,2,0,9.98788993204269e-4,0.031603623102490465,5692.849434179024,1.9603807823376715,0.843217278410738,0.9671275491754684,839.9999999999998,2
scores_4_neg,Philippe.Poutou,0.6107758620689657,0.0013649540529715584,3.135218489893441e-6,3,3,0,0.0013687163151594305,0.03699616622245379,529405.8841113824,1.9599684655566665,0.5382645429264636,0.6832871812114678,566.8000000000002,3
scores_4_neg,Fabien.Roussel,0.40323275862068975,9.105276260186231e-4,3.1584423305587835e-5,4,4,0,9.484289339853285e-4,0.030796573413049193,2504.7315447558763,1.9609115505614418,0.34284340209732816,0.46362211514405133,374.2000000000001,4
scores_4_neg,Anne.Hidalgo,0.2989224137931036,9.202716180235686e-4,1.3121469976220112e-5,5,5,0,9.360173819950328e-4,0.030594401154378437,14135.147496796248,1.9601318265044252,0.23895335437756268,0.35889147320864445,277.40000000000015,5
scores_4_neg,Nathalie.Arthaud,0.158836206896552,0.001002427895962323,5.782736325802475e-5,6,6,0,0.0010718207318719526,0.03273867333707877,954.2782489780228,1.962453019339465,0.09458809855703333,0.2230843152360707,147.40000000000026,6
scores_4_neg,Emmanuel.Macron,-0.09073275862068973,0.001216090737464517,1.4747138822829962e-5,7,7,0,0.0012337873040519128,0.03512530859724812,19442.967762204767,1.9600860037931924,-0.15958138438107247,-0.021884132860306993,-84.20000000000007,7
scores_4_neg,Jean.Lassalle,-0.13857758620689628,7.843242151975293e-4,7.989001189061395e-5,8,8,0,8.80192229466266e-4,0.029668033798454962,337.18448886227156,1.9670244058077122,-0.1969353327607853,-0.08021983965300729,-128.59999999999974,8
scores_4_neg,Valérie.Pecresse,-0.5112068965517242,5.791825440574549e-4,5.144080707490928e-5,9,9,0,6.40911512547346e-4,0.025316230219907268,431.1993497242742,1.965480761619778,-0.5609654600056893,-0.4614483330977593,-474.4000000000001,9
scores_4_neg,Nicolas.Dupont.Aignan,-0.7316810344827587,4.54947021784694e-4,2.3804436682518953e-5,10,10,0,4.8351234580371673e-4,0.02198891415699549,1146.03219250233,1.9620361218124434,-0.7748240783382169,-0.6885379906273005,-679,10
