dataset,strategy,candidate,total_score,rank
scores_4_pos,lowest_rank,Emmanuel.Macron,747,6
scores_4_pos,lowest_rank,Nathalie.Arthaud,746,7
scores_4_pos,lowest_rank,Jean.Lassalle,560,8
scores_4_pos,lowest_rank,Valérie.Pecresse,298,9
scores_4_pos,lowest_rank,Marine.Le.Pen,184,10
scores_4_pos,lowest_rank,Nicolas.Dupont.Aignan,168,11
scores_4_pos,lowest_rank,Eric.Zemmour,130,12
scores_4_pos,mean_imp,Jean.Luc.Mélenchon,2043.604966139956,1
scores_4_pos,mean_imp,Yannick.Jadot,1677.23711340206,2
scores_4_pos,mean_imp,Philippe.Poutou,1378.0979689366775,3
scores_4_pos,mean_imp,Fabien.Roussel,1148.6155717761567,4
scores_4_pos,mean_imp,Anne.Hidalgo,1106.7709090909107,5
scores_4_pos,mean_imp,Nathalie.Arthaud,870.8097062579818,6
scores_4_pos,mean_imp,Emmanuel.Macron,850.2590286425889,7
scores_4_pos,mean_imp,Jean.Lassalle,670.8256880733953,8
scores_4_pos,mean_imp,Valérie.Pecresse,367.0781671159025,9
scores_4_pos,mean_imp,Marine.Le.Pen,226.9581646423748,10
scores_4_pos,mean_imp,Nicolas.Dupont.Aignan,207.5027027027019,11
scores_4_pos,mean_imp,Eric.Zemmour,161.44021739130412,12
scores_4_pos,multiple_imp,Jean.Luc.Mélenchon,2027.1999999999998,1
scores_4_pos,multiple_imp,Yannick.Jadot,1668.4,2
scores_4_pos,multiple_imp,Philippe.Poutou,1343.4000000000003,3
scores_4_pos,multiple_imp,Fabien.Roussel,1151,4
scores_4_pos,multiple_imp,Anne.Hidalgo,1094.2,5
scores_4_pos,multiple_imp,Nathalie.Arthaud,857.6,6
scores_4_pos,multiple_imp,Emmanuel.Macron,814.2,7
scores_4_pos,multiple_imp,Jean.Lassalle,673.8000000000001,8
scores_4_pos,multiple_imp,Valérie.Pecresse,370.9999999999999,9
scores_4_pos,multiple_imp,Marine.Le.Pen,216.7999999999998,10
scores_4_pos,multiple_imp,Nicolas.Dupont.Aignan,212.00000000000003,11
scores_4_pos,multiple_imp,Eric.Zemmour,153.99999999999991,12
